bug_id,assigned_to,bug_file_loc,bug_severity,bug_status,creation_ts,delta_ts,short_desc,host_op_sys,guest_op_sys,priority,rep_platform,reporter,product_id,category_id,component_id,resolution,target_milestone,qa_contact,status_whiteboard,votes,keywords,lastdiffed,everconfirmed,reporter_accessible,cclist_accessible,estimated_time,remaining_time,deadline,alias,found_in_product_id,found_in_version_id,found_in_phase_id,cf_type,cf_reported_by,cf_attempted,cf_failed,cf_public_summary,cf_doc_impact,cf_security,cf_build,cf_branch,cf_change,cf_test_id,cf_regression,cf_reviewer,cf_on_hold,cf_public_severity,cf_i18n_impact,cf_eta,cf_bug_source,cf_viss,escalation_mgr,cf_rank,cf_cwe,cf_build_target,cf_build_types,cf_build_class,cf_customer_root_cause,cf_overall_update,cf_no_req_details,cf_rcca_req,cf_rcca_done,cf_feature_details,cf_documentation_details,cf_other_details,cf_corrective_action,cf_test_details,cf_process_details,cf_jira_sync,cf_escalation,cf_release_notes
1,185,NULL,critical,closed,"1998-05-06 21:27:00","2017-09-05 13:46:10","Two cursors.",Unknown,Unknown,P3,IA32,56,7,983,12925,fixed,ws1,412,,0,"cloud-edition, hptc","2017-09-05 13:46:10",1,1,1,0.00,0.00,NULL,NULL,0,0,0,Defect,Development,NULL,NULL,,0,0,NULL,,,NULL,Unknown,0,0,---,0,NULL,---,NULL,NULL,NULL,NULL,,,"Official Build",---,,NULL,0,0,NULL,NULL,NULL,---,---,---,0,---,---
2,189,NULL,minor,closed,"1998-05-06 22:03:01","2017-11-27 10:36:06","BT fails on too large basic blocks",Unknown,Unknown,P3,IA32,35,82,1162,14077,fixed,ws1,164,,0,"RNA-documented,SR","2017-11-27 10:36:06",1,1,1,0.00,0.00,NULL,NULL,0,0,0,Defect,---,NULL,NULL,,0,0,NULL,,,NULL,Unknown,0,0,---,0,NULL,---,NULL,NULL,NULL,NULL,,,"Official Build",---,,NULL,0,0,NULL,NULL,NULL,---,---,---,0,---,---
3,185,NULL,serious,closed,"1998-05-07 01:42:00","2018-01-08 12:07:51","CGA mode does not work",Unknown,Unknown,P3,IA32,75,6,364,5634,fixed,"fusion30 (chex), iron_ws70",16230,,0,"beavis, RNA-documented, SR","2018-01-08 12:07:51",1,1,1,0.00,0.00,NULL,NULL,0,0,0,Defect,---,NULL,NULL,,0,0,NULL,,,NULL,Unknown,0,0,---,0,NULL,---,NULL,0,NULL,NULL,,,"Official Build",---,,NULL,0,0,NULL,NULL,NULL,---,---,---,0,---,---
4,56,NULL,serious,closed,"1998-05-11 15:45:00","2017-11-27 10:36:05","Port 0x1fe unknown",Unknown,Unknown,P3,IA32,35,7,976,12926,"wont fix",never,412,,0,RNA-documented,"2017-11-27 10:36:05",1,1,1,0.00,0.00,NULL,NULL,0,0,0,Defect,---,NULL,NULL,,0,0,NULL,,NULL,NULL,Unknown,0,0,---,0,NULL,---,NULL,NULL,NULL,NULL,NULL,NULL,NULL,---,NULL,NULL,0,0,NULL,NULL,NULL,---,---,---,0,---,---
5,2269,NULL,critical,closed,"1998-05-13 11:18:00","2017-11-27 10:45:05","Floating point in host app not supported",linux,Unknown,P3,IA32,35,7,977,12927,fixed,ws1,11089,,0,"cloud-edition, hptc, RNA-documented","2017-11-27 10:45:05",1,1,1,0.00,0.00,NULL,NULL,0,0,0,Defect,---,NULL,NULL,,0,0,NULL,,,NULL,Unknown,0,0,---,0,NULL,---,NULL,NULL,NULL,NULL,,,"Official Build",---,,NULL,0,0,NULL,NULL,NULL,---,---,---,0,---,---
6,189,NULL,critical,closed,"1998-05-14 10:27:00","2017-11-27 10:36:09","Address size override on LOOP instruction not implemented",Unknown,Unknown,P3,IA32,175,82,1162,14077,fixed,ws1,164,,0,"RNA-documented,SR","2017-11-27 10:36:09",1,1,1,0.00,0.00,NULL,NULL,0,0,0,Defect,---,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,Unknown,0,0,---,0,NULL,---,NULL,NULL,NULL,NULL,NULL,NULL,NULL,---,NULL,NULL,0,0,NULL,NULL,NULL,---,---,---,0,---,---
7,1733,NULL,critical,closed,"1998-05-16 15:57:01","2017-11-27 10:53:02","Panic in user-level cause core dumps",linux,Unknown,P3,IA32,35,7,979,12929,fixed,ws1,1227,,0,"RNA-documented, SR","2017-11-27 10:53:02",1,1,1,0.00,0.00,NULL,NULL,0,0,0,Defect,---,NULL,NULL,,0,0,NULL,,,NULL,Unknown,0,0,---,0,NULL,---,NULL,NULL,NULL,NULL,,,"Official Build",---,,NULL,0,0,NULL,NULL,NULL,---,---,---,0,---,---
8,56,NULL,critical,closed,"1998-05-16 15:57:01","2017-11-27 10:44:01","Panic in user-level cause core dumps",Unknown,Unknown,P3,IA32,35,7,147,2736,fixed,ws1,331,,0,RNA-documented,"2017-11-27 10:44:01",1,1,1,0.00,0.00,NULL,NULL,0,0,0,Defect,---,NULL,NULL,,0,0,NULL,,,NULL,Unknown,0,0,---,0,NULL,---,NULL,NULL,NULL,NULL,,,"Official Build",---,,NULL,0,0,NULL,NULL,NULL,---,---,---,0,---,---
9,8212,NULL,minor,closed,"1998-05-16 16:36:00","2017-11-27 10:49:56","timer ports 0x40-0x43 modelled at user-level",Unknown,Unknown,P3,IA32,35,7,976,12926,fixed,ws1,412,,0,"RNA-documented, SR","2017-11-27 10:49:56",1,1,1,0.00,0.00,NULL,NULL,0,0,0,Defect,---,NULL,NULL,,0,0,NULL,,,NULL,Unknown,0,0,---,0,NULL,---,NULL,NULL,NULL,NULL,,,"Official Build",---,,NULL,0,0,NULL,NULL,NULL,---,---,---,0,---,---
10,56,NULL,serious,closed,"1998-05-16 20:45:01","2017-12-14 04:30:54","Interrupt delivery delayed",Unknown,Unknown,P3,IA32,175,82,1162,14065,fixed,ws1,164,,0,RNA-documented,"2017-12-14 04:30:54",1,1,1,0.00,0.00,NULL,NULL,0,0,0,Defect,---,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,Unknown,0,0,---,0,NULL,---,NULL,NULL,NULL,NULL,NULL,NULL,NULL,---,NULL,NULL,0,0,NULL,NULL,NULL,---,---,---,0,---,---
